-1114,-1404,-2039,-1550,-1522,-1095,-1912,-1715,-1299,-1575,-1746,-1741,-1172,-1706,-1581,-1762,-1308,-1344,-1998,-1876,-1502,-1287,-1803,-2041,-1388,-1697,-1667,-1854,-1824,-1466,-1765,-1989,-1695,-1519,-1711,-2048,-1946,-1579,-2265,-1957,-1626,-1802,-2118,-1929,-1585,-1824,-2220,-2133,-1680,-1651,-2255,-1983,-1493,-1781,-1910,-1900,-1601,-1739,-1923,-2007,-993,-1914,-2353,-1860,-1301,-1708,-2055,-1919,-1693,-1703,-2109,-2030,-1352,-1788,-1977,-1806,-1589,-1805,-2217,-1970,-1875,-1771,-1834,-1656,-1749,-1499,-2004,-2056,-1261,-1455,-1684,-1437,-1112,-1228,-813,-373,1317,3233,5980,11264,19873,30669,43264,62640,89412,116917,150425,181053,204488,232656,261951,279552,275321,264754,238468,217635,194160,161267,119805,92830,67116,44847,28373,17779,9676,4671,1331,-351,-801,-1080,-1764,-1558,-1499,-1737,-1951,-1937,-2151,-1851,-2193,-1970,-2059,-1829,-2320,-2217,-2110,-2036,-2477,-2528,-2008,-1900,-2195,-1879,-1944,-1880,-2255,-2157,-1709,-2030,-2235,-2326,-1875,-1863,-2177,-2242,-1949,-1726,-2231,-1808,-1746,-1542,-1902,-1790,-1564,-1550,-1935,-1919,-1611,-1529,-2084,-1851,-1611,-1404,-1826,-1655,-1257,-1317,-1635,-1498,-1300,-1297,-2009,-1602,-1311,-1590,-1845,-1570,-1216,-1243,-1768,-1547,-1400,-1223,-1821,-1479,-1274,-1456,-1796,-1977,-1224,-1570,-2228,-1827,-1253,-1803,-2159,-1779,-1500,-1619,-1978,-1857,-1410,-1803,-1960,-1899,-1671,-2029,-2453,-2337,-1665,-1986,-2277,-2324,-1965,-1856,-2316,-2340,-1567,-1716,-2295,-1988,-1876,-1982,-2378,-2136,-1587,-1914,-2313,-2305,-1919,-1988,-2490,-2309,-2025,-1941,-2245,-2108,-1649,-1953,-2443,-2188,-1730,-1999,-2120,-2042,-2041,-2068,-2227,-2098,-2010,-1892,-2122,-2326,-2032,-1729,-2084,-1902,-1650,-1788,-2349,-2176,-1835,-1855,-2050,-2193,-1714,-1644,-2074,-2338,-1665,-1320,-1806,-1865,-1864,-1619,-1871,-1837,-1590,-1647,-1809,-1879,-1436,-1219,-2015,-1890,-1460,-1471,-1985,-1792,-1133,-1246,-1748,-1462,-1409,-1265,-1771,-1633,-1307,-1547,-1713,-1583
-4176,-554,-650,472,-544,-155,-450,-1605,-2530,-780,-2884,-1201,-2038,-2072,-5140,-3495,-3321,-2216,-3863,-1517,-1418,-2193,45,-1380,-1588,-1450,-976,-2299,-805,-2916,-1422,-3308,-3356,-4239,-1829,-5710,-977,-2930,-1854,-3019,-4621,-966,-2031,-51,-954,-1300,-55,-916,-1416,-858,-4220,-1417,-3989,678,-2329,-1253,-2406,-1241,-1538,-2156,-2221,-2171,-2329,-3961,1484,-2374,-466,-2112,-538,-1633,-2857,-3000,-3008,-4436,-2855,-3864,-4390,-4690,-2518,-3328,-3226,-2400,-4696,-2320,-5029,-1477,-2064,-381,-2988,-1352,-2665,571,-1436,368,-1665,-3898,-4034,-2430,-1788,-1912,-1866,-3639,-1858,-1097,304,-483,-2732,-3600,-2564,-907,-135,3084,-491,-1788,-1919,-2701,2175,-2176,696,-1927,-1385,-3485,-2181,-1133,-1854,-3755,-6158,-7646,-10222,-5278,-6653,-4696,-5126,-4000,-6722,-5563,-4802,-2084,-6657,-7931,-9356,-6653,-7594,-4974,-5609,-6914,-6445,-5240,-3666,-5643,-2512,-4092,-1598,-3586,3156,-77,673,460,2516,677,1665,1892,3941,3310,930,3780,-964,482,908,3869,2070,3147,6280,17376,27735,48452,69266,91145,122009,155721,201701,230595,237606,235653,245962,249273,242512,226051,229081,189424,153654,135620,108324,79768,54089,37981,27887,17245,12255,6986,2942,2363,1699,2502,-659,-2744,-1188,-1953,-651,-2703,1445,-3170,797,-741,-715,-3241,-3787,-784,-2226,3026,1081,-56,-276,1714,1479,1478,-3071,-2849,-3793,-1784,-1315,-1389,-3200,-1613,-3617,-1377,-2214,-2897,-1883,-5098,954,-1462,185,-2273,144,1510,-3523,-937,-4524,-2852,-2717,650,-608,-1075,-2436,-2694,-1182,-2887,-2483,-4698,-6532,-1119,773,2844,1022,-3120,-2762,-2482,-292,1696,-1031,-1785,-3860,118,448,-1536,-3717,-3518,-2811,-4146,-2192,-2089,-2249,-5455,-545,159,-935,-755,-1364,-385,-2354,-845,-1694,-4683,-1713,-3095,322,-2775,-403,-4546,-4819,-4549,-2901,-1501,-4190,-2081,-1444,1197,-552,-721,-259,-1005,-110,947,-3590,28,-2088,1791,-61,-1027
-1364,-1161,-1708,-1601,-1666,-1169,-1324,-1603,-1672,-1521,-1765,-1376,-1493,-1622,-1414,-1683,-1483,-1476,-1428,-1646,-1567,-1454,-1227,-1907,-1862,-1708,-1307,-1786,-1716,-1483,-1644,-1993,-1972,-1500,-1723,-1827,-1699,-1601,-2066,-2040,-1986,-1836,-1735,-2049,-1540,-1813,-1458,-2135,-1834,-1578,-1780,-2017,-1484,-1883,-1588,-1940,-2051,-1720,-1781,-1902,-1738,-1609,-1823,-1609,-1689,-1709,-1747,-1953,-1654,-1315,-1662,-1809,-1369,-1396,-1395,-2072,-1854,-1761,-1623,-2123,-1559,-1712,-1858,-1695,-1607,-1245,-1482,-1574,-1424,-1337,-1113,-1418,-1429,-764,-474,-532,1119,3493,6852,11661,19793,31166,44379,63822,90721,118534,152219,182480,205865,234027,263335,280187,275388,264326,238196,216825,193018,160516,119393,91471,66433,44379,28106,17597,9529,5089,1694,-254,-825,-706,-1412,-1620,-1761,-1746,-1609,-1614,-1688,-2124,-1782,-1901,-1905,-1692,-1772,-2319,-2020,-2047,-1985,-2039,-2140,-1840,-1892,-1830,-1932,-1770,-1782,-2013,-2083,-1843,-1624,-2436,-2012,-1773,-1786,-2171,-1959,-1733,-1554,-1881,-1677,-1263,-1530,-1664,-1383,-1550,-1513,-1822,-1606,-1196,-1481,-1596,-1655,-1154,-1553,-1501,-1422,-1257,-1334,-1537,-1376,-1228,-1521,-1613,-1361,-1496,-1231,-1441,-1304,-1191,-1450,-1400,-1468,-980,-1506,-1645,-1251,-1212,-1189,-1772,-1466,-1277,-1450,-1699,-1283,-1498,-1542,-1529,-1423,-1266,-1518,-1840,-1610,-1545,-1735,-2243,-1921,-1714,-1914,-1943,-1821,-1961,-1726,-2236,-1929,-1933,-1840,-2148,-1649,-1598,-1772,-1901,-2103,-1930,-1797,-2165,-1795,-1992,-1721,-2114,-1993,-1803,-2186,-2228,-2111,-1782,-1803,-2080,-2183,-1829,-1948,-2177,-1983,-1883,-1734,-2041,-1834,-1758,-1673,-2154,-1946,-1643,-1738,-2114,-1858,-1718,-1773,-1808,-2046,-1604,-1861,-2008,-2024,-1786,-1613,-2034,-1735,-1409,-1790,-1937,-1776,-1629,-1571,-1739,-1934,-1910,-1533,-1766,-1879,-1522,-1561,-1706,-1732,-1410,-1502,-2081,-1632,-1711,-1458,-2154,-1601,-1241,-1174,-1686,-1525,-1428,-1167,-1543,-1688,-1399,-1294,-1871
-1723,-1415,2261,1657,2044,424,223,-751,-1318,-378,-275,-2217,443,-2222,-2592,-2413,-2205,-2274,-3068,-3393,-346,-2166,633,-1443,-3197,-3085,-2699,-1871,-1940,-2935,-3078,-2405,-3984,-1000,-1535,-407,-1950,-1182,-3097,-2081,-4021,-61,-2371,81,-3003,-385,251,-453,679,-2593,-2906,-4632,-3215,-2634,-1594,-5517,-3814,-5103,-3894,-2266,-1105,-3609,-2338,-3303,2575,-352,2787,1877,1195,1992,-1285,1800,-1855,-1342,-3194,-2047,-3151,-3102,-3924,-3906,-4981,-4014,-6534,-4700,-6880,-2316,-2424,-255,-995,-2326,-771,403,272,-2040,-391,-5239,-2658,-2647,-1601,-3945,-3255,-5410,-4207,-4057,-2205,-2347,-4036,-4611,-3149,-874,1568,1890,665,-3473,-2812,-920,-771,-1361,-1844,-788,-5144,-2865,-2519,-1261,-4296,-4749,-7321,-6189,-8480,-3445,-3523,-2295,-1826,-1485,-3333,-3008,-327,-2505,-4681,-6248,-4687,-6800,-6649,-7657,-6239,-10061,-8937,-5942,-5264,-4301,-1932,-3361,-532,-1775,3171,1714,1554,3289,3661,4918,2215,4251,3403,4137,398,1172,-785,314,1081,2119,3317,3778,5204,19037,27435,48355,68212,90095,122857,155931,204348,234351,231655,231923,247965,250994,242106,228344,229803,188001,156123,134444,112268,80412,56629,39684,29508,16483,13608,8277,3029,4166,1777,4600,-206,-1247,-2075,-2144,-3632,-1377,-3751,-2145,-3555,-3362,-3425,-4928,-5153,-1405,-1710,1051,1176,1972,425,3661,3596,299,433,-2921,-214,-2160,319,-5123,-2738,-5613,-3601,-5101,-4803,-3767,-4154,-4145,875,164,1488,-422,1735,3809,1198,1278,-2436,-1243,-3129,947,-2493,-1765,-5345,-2417,-2759,-3972,-3294,-4057,-6500,-1927,-1334,3887,-1897,-2271,56,78,1859,3616,-123,-2766,-2495,-3452,356,-5919,-3099,-4569,-3880,-3881,-1467,-3557,-1822,-5634,-652,-1013,424,-1255,84,-338,-1059,316,-1623,-1571,-4796,-765,-3300,-2525,-4952,-3434,-6220,-4991,-4225,-1559,-5045,-1443,-1265,-684,-549,518,701,465,-67,1674,278,-1293,-1796,-590,-2180,-4205
-1425,-1283,-1755,-1393,-1763,-1392,-1861,-1708,-1607,-1514,-1693,-1586,-1395,-1489,-1647,-1903,-1690,-1259,-1795,-1992,-1832,-1722,-1912,-2019,-1645,-1566,-1781,-2092,-1633,-1632,-1864,-1965,-1882,-1628,-1765,-2158,-1732,-1945,-1836,-1997,-1822,-1831,-2015,-1987,-1776,-1651,-1994,-2054,-1845,-1818,-2141,-1965,-1895,-1832,-1950,-1777,-1951,-1843,-1888,-2086,-1784,-1884,-1923,-1789,-1768,-1698,-1697,-2023,-1792,-1771,-2045,-1913,-1794,-1888,-1926,-1923,-1804,-1859,-1883,-2010,-1873,-1918,-2093,-2238,-1742,-1560,-1618,-2080,-1638,-1800,-1532,-1478,-1365,-979,-915,-459,955,3189,6288,11303,19669,30646,43780,62840,89833,117153,150886,181073,204294,232398,261941,278587,274218,263369,237397,216239,193001,160082,119105,91721,66495,44423,28076,17634,9617,4724,1357,-204,-1010,-1011,-1484,-1847,-1759,-1819,-1862,-2006,-1936,-2110,-1953,-2039,-2190,-1754,-2223,-2149,-1930,-2179,-2179,-2036,-2264,-1883,-2166,-2271,-2180,-1854,-2301,-2515,-2105,-2031,-1916,-2417,-1923,-1870,-2165,-2013,-2103,-1925,-2104,-1793,-2209,-1529,-2089,-1663,-1534,-1433,-1647,-1821,-1638,-1585,-1601,-1854,-1938,-1438,-1483,-1451,-1926,-1560,-1542,-1638,-1733,-1493,-1880,-1749,-1291,-1671,-1458,-1885,-1249,-1256,-1413,-1663,-1280,-1238,-1751,-1592,-1084,-1450,-1514,-1801,-1281,-1472,-1861,-1681,-1207,-1578,-2182,-1811,-1436,-1298,-1862,-2034,-1868,-1369,-1989,-1936,-2077,-1566,-2558,-2259,-1700,-2054,-2082,-2164,-1883,-1835,-2078,-2335,-1856,-1891,-2346,-2201,-2080,-1930,-2479,-2019,-1829,-1991,-1988,-2137,-1997,-1993,-2050,-2253,-2154,-1924,-2357,-2007,-2094,-1823,-2269,-2130,-2005,-1963,-1796,-2507,-1885,-1834,-1899,-2265,-1820,-1612,-2078,-2220,-2001,-1634,-2090,-2284,-2000,-1864,-2076,-1997,-2043,-1755,-1884,-2114,-1816,-1484,-2207,-2135,-1533,-1261,-1678,-1991,-1939,-1598,-2025,-1878,-1606,-1707,-1823,-1846,-1626,-1555,-2014,-2045,-1580,-1678,-1663,-1761,-1468,-1362,-1609,-1752,-1607,-1687,-1723,-1627,-1674,-1526,-1736,-1597
-661,-4112,-58,-1321,173,-1053,-803,-3591,-4732,-3700,-3846,-2233,-2989,-2602,-5019,-1260,-2655,-980,-4757,-1476,-3027,431,-446,1885,-2248,-1178,-1513,-1685,-377,-1593,-1344,-3323,-3996,-4139,-1752,-3747,-676,-3358,-1884,-4506,-3981,-4740,-1168,-3019,-2105,-3037,-591,-783,-627,-1009,-4301,-4845,-3839,-3286,-966,-2250,-3313,-691,-4064,1393,-2802,35,-4949,-1117,-3023,-1801,-2722,-675,13,-1781,-3144,-1953,-4123,-2657,-4277,-727,-3341,-1996,832,-4156,579,-2627,-635,-2658,-1584,-1232,850,-451,-607,-4252,-2763,-1866,-2138,-3005,-2704,-6581,-3342,-3011,-2632,-1783,-5706,-3081,-5786,-152,-3756,-76,-3577,-2418,-3376,34,-2998,345,-3460,-4811,-4364,-4010,-1678,-2758,-165,-430,-1381,-3782,202,-3132,-578,-4129,-2607,-6516,-5957,-6404,-2993,-7124,-2988,-5394,-7115,-7230,-6087,-3334,-6822,-7240,-5826,-5603,-7055,-4959,-4201,-5269,-6646,-3748,-4971,-3472,-3733,31,-4264,-1758,-1235,-1988,-1935,-995,186,-31,-2013,-183,1819,1814,3202,2061,2178,1249,3397,4367,5527,4282,8397,13681,29693,44788,69194,88585,121417,153258,202412,230237,226256,232321,246071,254255,241599,233245,232386,195524,158881,139325,111067,82589,52103,41073,26148,17889,10516,7292,-666,198,977,1747,-744,-806,-1593,-885,1290,-2057,1268,-3083,1074,270,159,-2786,-2455,-4596,-1848,-5054,-1627,-4746,-1493,-1143,-1772,-529,-3538,-1789,-900,419,2175,650,-1606,258,-1986,1359,-2602,-1359,-3737,-2150,-3163,303,-5206,-2786,-2990,2337,-924,322,-2128,-2383,275,1355,1637,-1638,37,-2563,1564,-2639,-1017,-5332,-3910,-6158,316,-759,-1733,-4425,-1972,-1520,-43,1577,127,-2925,-4249,-72,-465,432,-3007,-660,-3322,-1640,-3001,-787,-5400,-3875,-3418,-1673,-1426,-3095,-2177,-1153,-3183,150,-3670,-3012,-4124,-235,1336,-1185,1880,-1660,793,-3228,1191,-1522,-2476,-5384,-2283,-1395,-1935,-1615,-1796,-2176,-709,-734,-357,-282,-899,1842,-1339,410
-1306,-1277,-1672,-1534,-1768,-1436,-1541,-1856,-1542,-1483,-1554,-1696,-1766,-1612,-1666,-1981,-2041,-1473,-1829,-2047,-1989,-1414,-1574,-2225,-1748,-1739,-1519,-1962,-1928,-1559,-1802,-1910,-1890,-1613,-1642,-2090,-1824,-1907,-1835,-1910,-2098,-1957,-1928,-1987,-2060,-1788,-1637,-2102,-1616,-1606,-1888,-2088,-1946,-2030,-1923,-1928,-1942,-1755,-1923,-2112,-1537,-1903,-1983,-1512,-1733,-1756,-1932,-1752,-2042,-1770,-1875,-2303,-1665,-1701,-1913,-1844,-2073,-1792,-1909,-2170,-2055,-1796,-1575,-1857,-1911,-1408,-1542,-1874,-1419,-1504,-1371,-1608,-1226,-1154,-565,-446,871,3230,6208,11099,19287,29903,43198,61623,88291,115346,148671,178922,201858,229979,259343,276182,272179,261564,236220,215285,192047,159799,119065,92070,66543,44604,28402,17555,9613,4764,1744,7,-853,-1069,-1342,-1652,-1884,-1749,-1867,-2254,-2106,-1923,-1811,-2096,-2268,-2113,-2178,-2374,-2290,-2172,-2051,-2408,-2418,-1933,-1914,-1979,-2327,-1896,-1864,-2238,-1781,-1950,-1739,-2395,-2040,-2056,-2024,-2075,-1978,-1732,-1741,-2021,-2021,-1541,-1901,-1970,-1631,-1361,-1465,-1895,-1760,-1234,-1351,-2061,-1841,-1214,-1538,-1489,-1915,-1487,-1440,-1595,-1555,-1319,-1499,-1520,-1598,-1459,-1694,-1489,-1558,-1399,-1454,-1627,-1628,-1330,-1676,-1622,-1470,-1296,-1541,-1729,-1609,-1363,-1437,-1701,-1400,-1669,-1836,-1761,-1755,-1432,-1719,-1954,-1902,-1757,-1640,-2351,-2131,-1876,-2093,-2167,-1785,-1848,-1765,-2257,-2125,-1919,-1959,-2289,-1855,-1908,-2237,-2261,-2400,-1829,-2115,-2236,-1954,-1968,-2006,-2209,-2147,-2146,-2043,-2428,-2006,-1599,-2033,-2140,-2133,-1965,-2232,-2205,-1760,-1979,-1789,-2165,-1998,-1916,-1757,-2471,-2194,-1639,-1790,-2162,-2072,-1693,-1963,-2018,-1989,-1696,-2085,-2320,-1976,-1952,-1653,-2201,-2016,-1539,-1880,-2314,-1881,-1318,-1495,-1886,-1975,-2039,-1809,-1916,-2239,-1561,-1742,-1878,-1604,-1410,-1982,-1996,-1902,-1645,-1421,-2012,-1767,-1486,-1419,-1803,-1653,-1435,-1548,-1561,-1849,-1568,-1555,-1617
-4160,-3671,-3865,-2880,-4351,-2848,-3322,-4386,-4431,-1006,-1612,179,107,-350,-2105,-1305,-932,820,-4083,482,-2414,-1196,642,-2446,-4213,-5815,-3140,-2911,-2823,-2863,-538,-2934,-1231,-2943,-348,-1123,-44,-1057,-961,-2601,-3470,-3154,-3157,-1048,-4119,-1357,-1887,-1724,-2318,-3252,-3439,-1939,-3316,1199,-378,343,-131,-523,-906,-608,-1737,-1082,-3418,-3860,-326,-3006,-2532,-1978,-2037,-2648,-4141,-3085,-3828,-3858,-1782,-1766,-756,-1508,2371,-1181,514,-78,-1534,-2619,-3624,-773,-2372,-322,-2513,-2637,-3744,-3021,-2758,-5317,-3525,-4699,-3316,-21,70,1606,-2983,-2034,-3356,-1089,-604,-1970,-3747,-3227,-2921,-1043,-205,-1237,-2741,-6307,-4194,-4193,-1392,-3234,-1902,-50,-386,-4060,527,-702,-1004,-3264,-4979,-5502,-7791,-5278,-3893,-5837,-4935,-3888,-9588,-5781,-7096,-3832,-7424,-8341,-4272,-5468,-5408,-3926,-4919,-4436,-7218,-3092,-4069,-5091,-2920,-3419,-2724,-3341,173,-1287,-953,-2653,778,-1169,873,1540,3712,2861,2151,2328,3013,1805,3520,4402,3784,6507,8402,17557,27150,46025,65911,87246,118093,150980,197914,226712,218019,230517,243157,250790,239069,230522,228750,193240,157166,138354,113844,82001,56491,40281,28745,17682,13691,6271,2111,-14,-50,619,-619,-1439,0,-2238,-504,-2102,373,-1918,1379,138,-1466,-173,-3185,1016,-1595,-125,-949,-3130,-2742,-831,-817,-3,-5199,-3901,-3929,-1289,98,100,-3174,-627,-1520,-1752,404,-1747,-20,-2256,1274,751,-781,-1566,-1936,-706,-3023,-2875,-4042,-5153,-3036,-1386,-3162,-3460,-2884,-4334,1206,-2353,-1444,-2119,-5982,-9,803,3507,-560,-2242,-3481,-1158,-1409,1532,-3167,-4471,-5955,-2938,-1739,-2627,-4378,-2288,-3673,-1202,-669,-307,-609,-4266,1401,-1624,1455,-3167,199,-1667,-2705,-2284,-2049,-4355,-4539,-3770,-848,-4411,107,-2051,-3253,-2926,-1008,-269,-2571,-330,-440,2410,-1907,2261,643,-965,-1546,-693,-3439,-3131,-3239,-94,-2494,-2510
-1258,-1385,-1769,-1249,-1499,-1214,-1611,-1551,-1558,-1622,-1601,-1748,-1623,-1680,-1425,-1854,-1749,-1559,-1732,-1685,-2026,-1551,-1803,-1795,-1748,-1834,-1726,-1868,-1891,-1627,-2027,-1860,-1737,-1712,-2112,-1915,-1943,-1738,-2039,-1733,-1841,-1820,-2024,-1994,-1893,-1869,-2038,-1812,-1929,-1511,-1937,-2021,-1651,-1959,-2202,-1704,-1991,-1884,-1879,-1698,-1753,-1800,-2056,-1879,-1735,-1774,-2056,-1755,-1888,-1581,-1868,-1887,-1754,-1737,-2061,-1859,-1763,-1660,-1920,-1970,-1783,-1846,-1842,-1868,-1736,-1635,-1662,-1808,-1416,-1663,-1624,-1505,-1624,-925,-1078,-341,1014,3168,6146,11355,19112,30056,43116,61663,88352,115419,148144,178270,201476,229394,258479,275710,271261,260705,234758,214369,191074,158723,117804,91224,65912,44042,27810,17393,9372,4843,1402,-180,-952,-1003,-1683,-1744,-1531,-1977,-1843,-1823,-2088,-2137,-2145,-2062,-1996,-2006,-2197,-2062,-2160,-2316,-2172,-2471,-2117,-1905,-2348,-2011,-2196,-2078,-2256,-2140,-1970,-1900,-1896,-2261,-1930,-1855,-2322,-1876,-2051,-1583,-2091,-1707,-2011,-1698,-2165,-1799,-1579,-1620,-1785,-1767,-1972,-1711,-1822,-1721,-1741,-1540,-1839,-1484,-1657,-1412,-1761,-1481,-1383,-1552,-1903,-1300,-1267,-1341,-1470,-1284,-1447,-1338,-1604,-1448,-1364,-1262,-1686,-1343,-1671,-1656,-1737,-1615,-1526,-1569,-1991,-1385,-1540,-1730,-2044,-1604,-1606,-1633,-1933,-1835,-2106,-1601,-1785,-2081,-1909,-1876,-2449,-2056,-1777,-2145,-2066,-2196,-2109,-1845,-2076,-2476,-2132,-1864,-2363,-2443,-2126,-2123,-2303,-1959,-1991,-2151,-2145,-2230,-1863,-2018,-2419,-1989,-2340,-1957,-2266,-1919,-2057,-1971,-2225,-2260,-1945,-2166,-2009,-1806,-2147,-1890,-2094,-2090,-2001,-1752,-2029,-2115,-2100,-1746,-2448,-2045,-2137,-1581,-2415,-2024,-1860,-2073,-2140,-2073,-1963,-1809,-2014,-1870,-1747,-1618,-2080,-1891,-1927,-1963,-2123,-1760,-1711,-1952,-1909,-1925,-1580,-1389,-1881,-1439,-1769,-1796,-1932,-1894,-1692,-1489,-1753,-1796,-1796,-1578,-1676,-1689,-1671,-1466,-1756,-1761
-3431,-5639,-792,-1988,-402,-897,-338,-895,-1909,2248,1355,1093,940,-1549,-882,-2910,-1113,-1308,-5994,-752,-7008,-1237,-3116,-1086,-5309,-3500,-4054,-3854,-1291,-3699,865,-1957,-625,-192,-382,576,-2005,-1161,-3035,-3587,-3151,-3548,-1225,-2874,-3833,-3522,-3592,-1217,-1789,-3167,-3554,-2827,-3775,584,65,-804,522,-1102,674,-1709,61,-2969,-4639,-4279,-2419,-602,-3161,669,-1355,-1183,-2350,-2411,-3225,-3943,-2689,-524,-2492,57,-972,-444,-202,-485,-1380,-3074,-3639,-1992,-2333,-3542,-2923,-6409,-4688,-4855,-3127,-2802,-3486,-5383,-5281,-2127,-1277,-267,-1531,-2729,-1687,-1381,807,1219,-2847,-3182,-3590,-1690,-3607,-416,-4846,-3786,-5271,-2819,105,-3239,1127,69,-1228,-2955,-1909,415,-1613,-1201,-2980,-5502,-7667,-3710,-4816,-5826,-5070,-6533,-7184,-9882,-3805,-5691,-6748,-8540,-6463,-6804,-7201,-6256,-4426,-7846,-6538,-4720,-4406,-3598,-2141,-1304,-1289,-3611,202,-1090,-2507,21,-1302,-93,-1132,953,1630,2963,-145,1894,-104,1070,2160,4879,7171,4932,10972,17691,29407,48588,67100,88772,118897,152728,200091,207562,217187,228920,245858,249253,241754,228806,230426,192181,157066,137366,111268,80332,53954,39740,26595,17431,13280,5736,3365,804,755,1895,-2836,-2830,-3796,-3486,-3454,-1996,-1511,-1980,248,671,106,-2145,-2116,-344,-818,1912,1284,2067,-166,1076,-684,-3208,-3267,-7159,-3256,-3834,383,-3031,-2443,-905,-2281,-1262,-271,-783,-1139,-2451,794,-200,-1545,-2282,-816,1652,-1032,-1608,-4327,-3497,-4984,999,-3534,-1930,-3352,-1859,-698,-2021,-590,-4418,-4648,-2126,2139,3179,740,-1864,-1854,-427,-464,315,-1527,-3929,-3716,-3520,-511,-4365,-4112,-3176,-2243,-1818,354,-45,-882,-3270,-225,136,16,-2662,323,-420,-2046,-1061,-2216,-4621,-5605,-2313,-2919,-1622,-1220,-2685,-2073,-3761,-379,-973,-2526,-1890,-1589,507,-1723,1480,-1142,-1429,-652,-2099,41,-4746,-981,-974,-1427,-1287
