EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	AVG[arb.u.]	Norm[arb.u.]
64.974	433.4598704	25.1913601	24.958732	24.3495334	25.5836212	24.6456052	24.94577038	0.102326417
64.99	433.5666109	28.434508	28.7162541	27.4255436	27.8703341	27.697739	28.02887576	0.114973175
65.006	433.6733514	35.0783908	36.9960368	35.0688401	36.7599977	35.2441638	35.82948584	0.146970923
65.022	433.780092	44.0519644	45.8202099	44.1829455	43.7483881	43.6624318	44.29318794	0.181688645
65.038	433.8868325	49.6548198	49.9761329	47.9500182	46.9369607	46.3291264	48.1694116	0.197588738
65.054	433.993573	46.8175768	46.9826678	44.6877686	44.3685022	43.1344139	45.19818586	0.185400905
65.07	434.1003135	41.5756018	41.1990312	40.748101	39.8551097	38.2273959	40.32104792	0.165395107
65.086	434.207054	36.5321453	38.24104	36.5362384	36.7968364	38.2976619	37.2807844	0.152924084
65.102	434.3137945	36.7054223	39.1313026	37.6181974	38.4341008	39.4232813	38.26246088	0.156950876
65.118	434.420535	37.3917091	40.0734117	39.9055922	39.411684	39.2220342	39.20088624	0.160800255
65.134	434.5272755	38.3283606	39.2540973	38.3733854	37.567715	37.6966496	38.24404158	0.156875321
65.15	434.634016	35.9706998	36.8022939	35.0463277	32.9451716	35.2189225	35.1966831	0.144375195
65.166	434.7407566	31.3652115	31.7881715	31.5118831	28.8479173	30.2641512	30.75546692	0.126157528
65.182	434.8474971	27.7079721	27.9678878	26.6273776	27.0783073	25.776	27.03150896	0.110882022
65.198	434.9542376	22.1399086	22.5731013	22.7436498	21.5047864	21.8772639	22.167742	0.090931071
65.214	435.0609781	17.7165656	18.3953483	18.2404904	19.5100524	19.2978903	18.6320694	0.076427902
65.23	435.1677186	15.9776544	16.2969209	16.5261381	16.8897471	18.0344679	16.74498568	0.068687171
65.246	435.2744591	17.2622249	17.1203286	17.4020746	17.4102607	16.9177172	17.2225212	0.070646
65.262	435.3811996	18.2930193	17.188548	17.1844548	16.9552378	16.346039	17.19345978	0.070526791
65.278	435.4879401	18.1074626	16.2907812	16.021997	16.1291015	15.1208193	16.33403232	0.067001459
65.294	435.5946806	16.5500149	16.434042	15.3834638	14.8840981	14.7121854	15.59276084	0.063960797
65.31	435.7014211	17.93555	16.9757034	15.2681731	15.4380392	14.5361794	16.03072902	0.065757322
65.326	435.8081617	18.5890913	16.9361364	16.1529782	16.0295012	13.6404594	16.2696333	0.066737297
65.342	435.9149022	16.9095309	14.8445309	14.5580097	13.1840721	12.8764026	14.47450924	0.059373779
65.358	436.0216427	11.15659273	11.5195197	10.23563157	9.78743038	10.41095519	10.62202591	0.043571068
65.374	436.1283832	6.70186911	8.0430616	7.35882149	9.01655174	8.83099525	7.990259838	0.032775683
65.39	436.2351237	8.34663771	7.52323012	8.31662124	8.99062839	10.06781201	8.648985894	0.035477747
65.406	436.3418642	9.22871402	7.68218122	9.25395517	9.77992636	9.33786495	9.056528344	0.037149468
65.422	436.4486047	8.21088123	9.93546643	9.32012789	8.40530633	9.17618511	9.009593398	0.036956943
65.438	436.5553452	6.78646115	7.5273233	8.62974802	6.67389922	8.11673851	7.54683404	0.03095677
65.454	436.6620857	5.15192545	5.7167817	5.8750506	6.49584671	5.99920983	5.847762858	0.023987258
65.47	436.7688263	3.38367987	4.41447426	5.48210712	6.54496465	5.44731526	5.054508232	0.020733363
65.486	436.8755668	4.41379207	4.61572136	4.74056277	6.32256954	5.59330466	5.13719008	0.02107252
65.502	436.9823073	6.6950472	7.72311283	7.37246541	7.3172077	7.47070123	7.315706874	0.030008697
65.518	437.0890478	9.51864623	9.98663109	8.04442596	8.79211008	8.23475796	8.915314264	0.036570214
65.534	437.1957883	11.6395858	9.98117333	9.09773268	8.93195974	8.44692016	9.619474342	0.039458647
65.55	437.3025288	10.30521522	8.83304174	7.49798902	7.19987041	7.32471183	8.232165644	0.03376797
65.566	437.4092693	9.10182595	8.23953325	6.41739446	7.25171712	5.81842852	7.36577986	0.030214094
65.582	437.5160098	7.66171543	7.66717296	5.47664959	6.20386788	4.66552148	6.334985468	0.025985823
65.598	437.6227503	7.55461105	6.64865805	4.72555453	4.61094601	4.45949905	5.599853738	0.022970346
65.614	437.7294908	4.94180986	4.02698835	3.181068379	2.903415625	3.71045056	3.752746555	0.015393596
65.63	437.8362314	1.631124705	1.670009741	1.191792068	1.333006134	1.509694256	1.467125381	0.006018082
65.646	437.9429719	-1.166550913	-0.665820884	-0.931194153	-0.873207709	-0.30289391	-0.787933514	-0.003232067
65.662	438.0497124	-2.01451747	-2.23281939	-1.505601097	-1.876032183	-1.769609977	-1.879716023	-0.00771051
65.678	438.1564529	-3.1060271	-2.623034094	-0.585322032	-2.160506872	-0.867067957	-1.868391611	-0.007664058
