EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
65.474	436.795511380076	-108.712994	-119.15192	-121.510264	-118.015387	-119.557825	-117.389678	-0.867936786618921	
65.49	436.90225189054	-159.199409	-158.87605	-157.254475	-155.791853	-156.885409	-157.6014392	-1.16524799314779	
65.506	437.008992401003	-181.171499	-182.305304	-176.383862	-174.120347	-175.151822	-177.8265668	-1.3147852655654	
65.522	437.115732911466	-178.150063	-177.617952	-168.831298	-169.533276	-172.276376	-173.281793	-1.28118285319758	
65.538	437.22247342193	-152.668769	-148.600168	-142.555933	-142.541607	-143.034835	-145.8802624	-1.07858585469994	
65.554	437.329213932393	-105.36206	-105.636984	-101.6427421	-100.094844	-99.4692727	-102.44118056	-0.757413007578869	
65.57	437.435954442857	-64.7810966	-64.7135592	-61.2425589	-60.429384	-60.2219974	-62.27771922	-0.460458912731341	
65.586	437.54269495332	-31.2035316	-30.0669972	-28.9386492	-29.6317578	-28.7305801	-29.71430318	-0.219696801780729	
65.602	437.649435463783	-12.64582132	-11.46835512	-12.5673691	-11.9049591	-10.187878	-11.754876528	-0.0869113020381102	
65.618	437.756175974247	-6.63637856	-4.16342706	-6.48083844	-6.60158669	-5.63696506	-5.903839162	-0.0436508497023156	
65.634	437.86291648471	-2.995511751	-3.1155778	-4.26780266	-2.670105442	-3.20494514	-3.2507885586	-0.0240351538874554	
65.65	437.969656995174	0.714938805	0.818632215	0.2585513397	1.945615927	0.8752542872	0.92259851478	0.00682135945766494	
65.666	438.076397505637	8.07171373	7.92367775	7.5375562	7.23534448	7.67058395	7.687775222	0.0568406271838589	
65.682	438.1831380161	13.8246517	14.0033865	14.4850151	13.57224	13.5606427	13.8891872	0.102691622572784	
65.698	438.289878526564	17.48462	17.3461346	16.6407466	17.2478987	17.3311263	17.21010524	0.127245288460362	
65.714	438.396619037027	18.5754474	19.7201679	18.4533347	19.7952093	18.6218365	19.03319916	0.140724584984451	
65.73	438.503359547491	20.4589836	21.1411773	20.2243091	23.2989555	20.2857066	21.08182642	0.15587139338633	
65.746	438.610100057954	25.3387141	25.0856201	25.1756696	24.9546389	23.5943452	24.82979758	0.183582535459237	
65.762	438.716840568417	29.0341561	28.9557039	28.2796502	27.2652284	27.8075722	28.26846216	0.209006776641886	
65.778	438.823581078881	30.0403916	30.1427206	29.0027753	29.4032229	28.6234757	29.44251722	0.217687314773102	
65.794	438.930321589344	27.8635122	27.9521974	28.3123954	27.2870587	26.9214029	27.66731332	0.204562099721746	
