-3.67,19.45,15.16,69.5,132.47,256.03,444.03,856.89,1374.18,2421.32,3349.1,4293,6360.13,8143.21,11460.75,12899.28,14993.81,17088.11,20349.68,20558.83,20729.97,19027.71,16959.49,17037.2,15474.26,10886.54,8341.51,6095.58,4470.76,2877.16,2014.1,1347.2,752.07,433.7,220.73,117.28,44.21,26.35,7.44,38.82,,
12.63,-1.81,-31.5,-42.34,-25.81,18.07,97.16,248.09,585.48,1283.85,1981.96,3695.99,5140.14,7181.72,9896.08,11704.08,17539.51,18864.39,17860.07,18272.77,18269.38,20729.97,18732.94,18703.02,20369.81,16257.6,12103.41,10477.28,8362.69,6330.24,4456.91,2947.19,1997.79,1124.84,745.03,418.55,222.91,169.53,63.57,87.69,17.3,19.59
24,27.95,31.66,60.33,121.47,273.86,450.03,879.06,1424.01,2474.16,3427.1,4383.33,6438.63,8246.88,11625.25,13021.61,15127.98,17206.78,20471.68,20634.33,20814.63,19056.88,16969.32,17023.53,15459.43,10832.88,8294.34,6075.58,4448.59,2833.16,2013.1,1313.86,780.57,455.53,210.56,105.11,53.38,35.02,16.1,25.49,,
20.13,-17.81,5.16,-42.51,-21.15,-2.26,108.49,256.76,602.14,1299.52,2036.46,3690.82,5134.98,7185.72,9914.41,11721.91,17552.68,19140.06,17240.57,17932.1,18264.38,20814.63,18780.27,18806.35,20450.14,16319.27,12183.57,10501.61,8421.02,6379.41,4507.24,2961.85,2014.29,1123.18,746.2,427.05,211.75,180.53,103.57,88.69,51.97,30.59
53.33,14.45,41.32,89,129.47,283.03,462.7,864.73,1409.01,2438.16,3397.1,4349.66,6416.63,8207.88,11569.75,12973.11,15061.64,17166.61,20436.51,20628.5,20766.8,19088.21,17002.66,17076.53,15484.26,10899.88,8340.01,6130.58,4488.59,2867.16,2029.94,1351.03,774.57,463.03,230.39,116.78,74.04,54.85,43.94,44.82,,
34.29,-11.31,-6.17,-44.68,-28.65,26.07,105.16,274.93,609.81,1257.35,2039.63,3635.66,5120.64,7133.55,9869.58,11677.91,17510.68,18835.89,16760.74,17965.94,18248.71,20766.8,18751.1,18792.02,20476.14,16346.1,12186.91,10530.78,8389.35,6362.74,4468.91,2976.52,1997.29,1140.84,749.2,423.05,203.91,152.86,98.91,63.69,34.97,34.59
21.33,39.45,39.82,61.16,131.8,260.53,452.53,844.73,1352.51,2405.49,3335.27,4256.5,6315.97,8110.04,11412.58,12820.28,14921.98,17033.28,20291.01,20471.66,20654.47,18996.04,16932.99,17048.36,15473.43,10905.04,8371.18,6136.75,4508.26,2856.33,2040.94,1361.36,775.24,443.2,227.56,113.61,62.38,45.52,35.44,54.82,,
9.79,-14.98,-9.67,-20.68,-16.81,12.41,136.66,277.76,622.98,1276.19,1988.63,3598.66,5042.14,7047.88,9731.25,11554.58,17366.68,18691.89,16374.57,17850.6,18136.21,20654.47,18676.77,18710.19,20353.81,16259.44,12124.41,10517.61,8372.85,6339.41,4464.07,2934.35,1970.63,1113.34,751.36,418.88,217.75,177.7,91.24,74.35,45.13,45.43
-0.67,22.11,18.82,78,108.97,253.86,445.86,850.73,1371.51,2414.16,3323.77,4286.83,6341.8,8121.71,11455.75,12903.45,14988.64,17096.61,20347.84,20571.33,20751.13,19088.54,16999.16,17099.2,15515.59,10910.71,8362.01,6120.58,4507.43,2850.66,2036.77,1341.03,750.41,430.7,226.73,102.78,39.54,15.02,31.77,21.16,,
3.29,-35.31,-23.34,-3.01,-24.65,37.57,144.32,271.43,617.81,1284.69,1981.96,3627.32,5053.64,7077.22,9788.25,11622.58,17540.51,17141.89,16242.24,17880.27,18232.21,20751.13,18771.6,18763.52,20431.14,16293.1,12108.57,10490.28,8319.35,6313.91,4427.41,2920.69,1961.46,1143.18,746.03,419.22,225.25,169.86,108.41,95.35,33.13,38.76
